문제 번호,영문 문제 내용,한국어 문제 내용,문제의 답,문제의 해설
451,A marketing team is planning for a multiyear initiative that will include a lot of cross-functional stakeholders. The project manager has been assigned and is now in the project planning phase. What item(s) should the project manager develop rst? A. A product backlog and identication of the features to be delivered B. A business case and scope document C. A communications management plan that addresses the team's needs D. A risk management plan to incorporate known risks,프로젝트 매니저가 배정되었고 현재 프로젝트 계획 단계에 있는 다년간의 여러 부서 이해관계자가 포함되는 마케팅 계획을 위한 프로젝트입니다. 프로젝트 매니저가 가장 먼저 개발해야 할 항목은 무엇입니까? A. 제품 백로그 및 제공될 기능 식별 B. 비즈니스 사례 및 범위 문서 C. 팀의 요구 사항을 다루는 의사소통 관리 계획 D. 알려진 위험을 포함하는 위험 관리 계획,C,"PMBOK 가이드라인에 따르면 프로젝트 계획 단계 이전에 프로젝트 시작 단계에서 비즈니스 사례와 프로젝트 헌장이 작성됩니다. 프로젝트 헌장에는 프로젝트의 목표, 이해관계자, 고수준 요구사항, 그리고 프로젝트 매니저의 권한 등이 포함됩니다. 이는 프로젝트의 정당성을 확립하고 프로젝트의 범위를 정의하는 데 중요한 역할을 합니다.  프로젝트 헌장이 승인된 후, 프로젝트 계획 단계에서 범위를 더욱 자세히 정의하는 범위 문서를 작성합니다. 따라서 프로젝트 계획 단계에서 가장 먼저 개발해야 할 항목은 비즈니스 사례(이미 시작 단계에서 작성되었지만 검토 및 업데이트될 수 있음)와 범위 문서입니다. 제품 백로그와 기능 식별은 주로 Agile 환경에서 사용되며, 의사소통 관리 계획과 위험 관리 계획은 범위가 정의된 후에 개발되는 것이 일반적입니다."
452,"A key project stakeholder showed interest in the beginning of a complex agile project, but has become less involved as the sprint has progressed due to additional responsibilities. A few sprints later, the key stakeholder rejected a feature deliverable. The team is reworking the rejected deliverable for the next sprint. What should the project manager have done to avoid this situation? A. Involved the key stakeholders in the decision-making process B. Customized stakeholder communications based on the stakeholders' needs C. Analyzed the changes in stakeholder attributes D. Documented the project vision and objectives","프로젝트 핵심 이해관계자가 복잡한 애자일 프로젝트 초반에는 관심을 보였지만, 스프린트가 진행됨에 따라 추가적인 업무로 인해 참여도가 낮아졌습니다. 몇 번의 스프린트 후, 핵심 이해관계자는 기능 산출물을 거부했습니다. 팀은 다음 스프린트를 위해 거부된 산출물을 재작업하고 있습니다. 이러한 상황을 피하기 위해 프로젝트 관리자는 무엇을 했어야 했습니까? A. 핵심 이해관계자를 의사결정 과정에 참여시켰어야 합니다. B. 이해관계자의 필요에 따라 이해관계자 소통을 맞춤화했어야 합니다. C. 이해관계자 속성의 변화를 분석했어야 합니다. D. 프로젝트 비전과 목표를 문서화했어야 합니다.",A,"이해관계자 참여 부족으로 인한 문제 발생을 예방하기 위해서는 정기적인 의사결정 과정에 참여시키는 것이 가장 효과적입니다. 특히 애자일 환경에서는 스프린트 리뷰, 데모 등을 통해 지속적인 피드백을 받고 방향을 조정해야 합니다.  이 경우, 핵심 이해관계자가 프로젝트 진행 상황과 기능 개발에 대한 의사결정에 참여했다면, 최종 산출물 거부를 사전에 방지할 수 있었을 것입니다.  이는 PMBOK의 이해관계자 관리 지식 영역과 관련이 있습니다."
453,"As a member of an organizational change management team, a project manager must pass on any changes to the project team. The project manager needs to avoid any misunderstandings or resistance to help ensure that the project team will support any organizational change. What should the project manager do? A. Conduct meetings with resistant members to facilitate smooth project implementation B. Meet with the team on a regular basis to ensure they are aware of changes C. Inuence the team to communicate any changes D. Check with the team members on their willingness to change",프로젝트 팀의 일원으로서 조직 변경 관리 팀에 속한 프로젝트 관리자는 모든 변경 사항을 프로젝트 팀에 전달해야 합니다. 프로젝트 관리자는 프로젝트 팀이 조직 변경을 지원하도록 오해나 저항을 방지해야 합니다. 프로젝트 관리자는 무엇을 해야 합니까? A. 원활한 프로젝트 실행을 위해 저항하는 구성원들과 회의를 진행한다 B. 변경 사항을 인지하고 있는지 확인하기 위해 팀과 정기적으로 회의를 한다 C. 팀이 변경 사항을 전달하도록 영향을 준다 D. 팀 구성원의 변경 의지를 확인한다,B,"변경 관리에서 가장 중요한 부분 중 하나는 이해 관계자, 특히 프로젝트 팀과의 지속적인 소통입니다. 정기적인 회의를 통해 변경 사항에 대한 정보를 투명하게 공유하고, 팀원들의 질문과 우려사항을 해결하며, 변경에 대한 지지를 확보할 수 있습니다.  PMBOK에서 강조하는 소통 관리 및 이해관계자 관리 지식 영역과 직결됩니다.  A는 저항이 발생한 후의 대응이며, C는 팀의 책임을 명확히 하지 않고, D는 변경 전의 상황 파악에 가깝습니다. 정기적인 회의는 선제적 소통을 통해 저항을 예방하고 팀의 참여를 유도하는 가장 효과적인 방법입니다."
454,"A project manager is working on a software development project. A team member complains that since the project tasks are very simple, there is no reason to perform quality control. The project manager understands that removing the quality management plan from the project will also help to save money, which is important to the customer. What should the project manager do? A. Register starting the project without a quality management plan as a risk, and allocate the budget savings to the management reserve B. Develop the quality management plan, as quality is as equally important as cost and schedule management C. Get conrmation from management that the team member has enough experience to build software without quality control D. Ask the customer to order an external quality audit after accepting the project deliverable, and decrease the budget of the project",프로젝트 매니저는 소프트웨어 개발 프로젝트를 진행하고 있습니다. 한 팀원은 프로젝트 작업이 매우 간단하기 때문에 품질 관리를 수행할 필요가 없다고 불평합니다. 프로젝트 매니저는 프로젝트에서 품질 관리 계획을 제거하면 고객에게 중요한 비용을 절감하는 데 도움이 된다는 것을 알고 있습니다. 프로젝트 매니저는 어떻게 해야 합니까? A. 품질 관리 계획 없이 프로젝트를 시작하는 것을 위험으로 등록하고 예산 절감액을 관리 예비비에 할당합니다. B. 품질은 비용 및 일정 관리만큼 중요하므로 품질 관리 계획을 개발합니다. C. 팀원이 품질 관리 없이 소프트웨어를 구축할 수 있는 충분한 경험을 가지고 있는지 경영진으로부터 확인을 받습니다. D. 고객에게 프로젝트 결과물을 수락한 후 외부 품질 감사를 주문하도록 요청하고 프로젝트 예산을 줄입니다.,B,"품질 관리는 프로젝트 성공에 필수적인 요소입니다. PMBOK 가이드에 따르면 품질 관리는 프로젝트의 모든 단계에서 수행되어야 하며, 작업의 복잡성과는 무관합니다. 비용과 일정도 중요하지만 품질을 희생해서는 안 됩니다. 품질 관리 계획을 개발하는 것은 프로젝트의 품질 요구사항을 충족하고 고객 만족을 보장하는 데 중요합니다."
455,A marketing team is developing ideas in order to revamp an existing product. The marketing executive reaches out to the project manager to make sure that necessary measures are in place for a successful launch. On what should the project manager focus? A. Ensuring that the team is also focused on the overall change management plan B. Determining and aligning performance indicators that will help in assessing successful delivery C. Planning for regular project updates to cover the status of critical deliverables D. Ensuring that the scope management plan is in place to cover all related objectives,"프로젝트 매니저는 마케팅 팀이 기존 제품을 개편하기 위한 아이디어를 개발하고 있는 가운데, 마케팅 임원으로부터 성공적인 출시를 위한 필요한 조치가 마련되었는지 확인해 달라는 요청을 받았습니다. 프로젝트 매니저는 무엇에 집중해야 할까요? A. 팀이 전체적인 변경 관리 계획에도 집중하고 있는지 확인한다. B. 성공적인 제공을 평가하는 데 도움이 될 성과 지표를 결정하고 조정한다. C. 중요한 결과물의 상태를 다루는 정기적인 프로젝트 업데이트를 계획한다. D. 관련된 모든 목표를 포괄하는 범위 관리 계획이 수립되어 있는지 확인한다.",B,"제품 개편은 변경 관리가 필요하지만, 질문의 핵심은 '성공적인 출시'를 위한 조치에 집중하는 것입니다.  프로젝트의 성공은 성과 지표를 통해 측정되므로, 프로젝트 매니저는 성공적인 제공을 평가하는 데 도움이 될 성과 지표를 결정하고 이해관계자와 조정하는 것이 가장 중요합니다.  변경 관리 계획(A)은 중요하지만, 성과 측정 없이는 성공 여부를 판단할 수 없습니다. 정기적인 업데이트(C)와 범위 관리 계획(D) 또한 프로젝트 관리의 중요한 요소지만, 성공적인 출시를 평가하기 위한 핵심은 성과 지표 설정 및 조정(B)입니다.  이 질문은 PMBOK의 모니터링 및 통제 프로세스 그룹과 프로젝트 성과 측정의 중요성을 테스트합니다."
456,"During the closing process, the project manager learns that one deliverable is not meeting customer expectations. How should the project manager proceed? A. Ask the customer to issue a change request with the information to analyze and provide a solution B. Review the deliverable requirements, check the customer approval criteria, and proceed accordingly C. Meet with the customer to reach agreement on the scope of the deliverable that will satisfy both parties D. Contact the project sponsor and ask for help in negotiating the closing of the project with the customer",프로젝트 종료 과정에서 프로젝트 관리자는 한 가지 결과물이 고객의 기대를 충족시키지 못한다는 것을 알게 되었습니다. 프로젝트 관리자는 어떻게 진행해야 합니까? A. 고객에게 변경 요청을 제출하여 분석하고 해결책을 제공하도록 요청하십시오. B. 결과물 요구사항을 검토하고 고객 승인 기준을 확인한 후 그에 따라 진행하십시오. C. 고객과 만나 양측을 모두 만족시키는 결과물의 범위에 대한 합의에 도달하십시오. D. 프로젝트 후원자에게 연락하여 고객과의 프로젝트 종료 협상에 도움을 요청하십시오.,B,"프로젝트 종료 단계에서 고객 불만족 사항이 발생했을 경우, 우선적으로 프로젝트의 원래 범위와 요구사항, 그리고 승인 기준을 재검토해야 합니다. 이를 통해 현재 결과물의 상태가 실제로 계약된 범위와 요구사항에 부합하는지, 그리고 고객의 승인 기준을 충족하는지 확인해야 합니다.  만약 결과물이 원래 합의된 내용과 다르다면 변경 요청 등의 추가 조치가 필요하지만, 그 전에 기존 합의 내용을 명확히 하는 것이 우선입니다. 따라서 PMBOK의 종료 프로세스에 따라 B가 가장 적절한 답변입니다."
457,"A product company is transforming the way it develops and releases products in the market. Executives believe that this is a high-risk initiative, and this initiative must be successful. What should the project manager do in this scenario? A. Develop a business case with assumptions for the new model B. Develop a communications management plan to inform the employees about the new business model C. Adopt an iterative rollout approach that delivers the highest business value earlier D. Develop a detailed sprint plan with clear deliverables","프로젝트 매니저는 제품 개발 및 출시 방식을 변화시키는 고위험 프로젝트를 담당하고 있으며, 경영진은 이 프로젝트의 성공을 필수적으로 여기고 있습니다. 이 상황에서 프로젝트 매니저는 무엇을 해야 합니까? A. 새로운 모델에 대한 가정을 포함한 비즈니스 사례를 개발한다 B. 직원들에게 새로운 비즈니스 모델을 알리기 위한 소통 관리 계획을 개발한다 C. 높은 비즈니스 가치를 조기에 제공하는 반복적 롤아웃 방식을 채택한다 D. 명확한 결과물을 포함한 상세한 스프린트 계획을 개발한다",C,"고위험 프로젝트에서 경영진의 주요 관심사는 성공적인 결과 달성입니다. 반복적 롤아웃 방식(iterative rollout approach)을 채택하면 조기에 높은 비즈니스 가치를 제공하고, 위험을 조기에 식별 및 완화하며, 변화에 대한 신속한 대응과 피드백 반영이 가능해집니다. 이를 통해 프로젝트 성공 가능성을 높이고 경영진의 요구사항을 충족시킬 수 있습니다.  비즈니스 사례 개발(A)과 소통 관리 계획(B)은 중요하지만, 고위험 관리의 핵심은 위험 완화 및 가치 제공에 초점을 맞추는 것입니다. 상세한 스프린트 계획(D)은 반복적 접근 방식의 일부일 수 있지만, 전체적인 전략보다는 실행 단계에 가깝습니다."
458,"Two weeks after the approval of the project management plan for a global project, the project manager noticed that it was approved based on a different level of understanding by international stakeholders and is not what the project manager presented for approval. What should the project manager have done to prevent this from happening? A. Sent the meeting minutes to the stakeholders after the kick-off meeting B. Reviewed all the approvals immediately after the kick-off meeting was over C. Ran separate kick-off meetings for each culture and time zone D. Validated each stakeholder's understanding during the kick-off meeting","글로벌 프로젝트의 프로젝트 관리 계획 승인 후 2주 후, 프로젝트 관리자는 국제 이해관계자들의 이해 수준 차이로 인해 승인된 계획이 자신이 제시한 내용과 다르다는 것을 알게 되었습니다. 이러한 상황을 방지하기 위해 프로젝트 관리자는 무엇을 했어야 했습니까? A. 착수 회의 후 이해관계자들에게 회의록을 발송했어야 했다. B. 착수 회의 직후 모든 승인 내용을 검토했어야 했다. C. 문화 및 시간대별로 별도의 착수 회의를 진행했어야 했다. D. 착수 회의 중 각 이해관계자의 이해도를 확인했어야 했다.",D,"이해관계자의 다양한 배경과 문화적 차이를 고려할 때, 프로젝트 관리자는 착수 회의에서 각 이해관계자의 프로젝트 목표, 범위, 계획에 대한 이해도를 적극적으로 확인했어야 합니다.  이를 통해 초기 단계에서 오해를 방지하고 모두가 동일한 내용을 기반으로 프로젝트를 진행할 수 있도록 해야 합니다.  이는 PMBOK에서 강조하는 이해관계자 관리의 핵심적인 부분입니다.  회의록 발송이나 승인 내용 검토는 사후적인 조치이며, 별도의 착수 회의는 효율적이지 않을 수 있습니다.  이해관계자의 이해도를 직접 확인하는 것이 가장 효과적인 예방책입니다."
459,"The rollout of a new nance system is in the execution phase. A number of issues have surfaced in the last month that are slowing the project down. A new project sponsor has recently started with the company but has not had time to meet the project manager. The project is at the point where the issues are signicantly impacting delivery of the project. How should the project manager alert the new project sponsor about these concerns? A. Send an email invitation to the project sponsor to attend all of the project team's weekly meetings, and hope the sponsor will nd time to attend B. Send an email to the project sponsor summarizing the project status and key concerns, and request an immediate face-to-face meeting to discuss them C. Continue emailing updated project status reports highlighting the key risks and issues, and wait for the project sponsor to request a meeting D. Complete a risk analysis outlining the delays and impacts, and email a copy of the risk register, urging the project sponsor to respond",새로운 재무 시스템 출시가 실행 단계에 있습니다. 지난달에 프로젝트를 지연시키는 여러 문제가 발생했습니다. 새로운 프로젝트 후원자가 최근 회사에 합류했지만 프로젝트 관리자를 만날 시간이 없었습니다. 이 문제들이 프로젝트 제공에 상당한 영향을 미치는 시점에 프로젝트가 도달했습니다. 프로젝트 관리자는 이러한 우려 사항을 새로운 프로젝트 후원자에게 어떻게 알려야 합니까? A. 프로젝트 후원자에게 모든 프로젝트 팀 주간 회의에 참석하도록 이메일 초대장을 보내고 후원자가 참석할 시간을 찾기를 바랍니다. B. 프로젝트 상태 및 주요 우려 사항을 요약한 이메일을 프로젝트 후원자에게 보내고 이를 논의하기 위한 즉각적인 대면 회의를 요청합니다. C. 주요 위험 및 문제를 강조하는 업데이트된 프로젝트 상태 보고서를 이메일로 계속 보내고 프로젝트 후원자가 회의를 요청할 때까지 기다립니다. D. 지연 및 영향을 간략히 설명하는 위험 분석을 완료하고 위험 등록부 사본을 이메일로 보내 프로젝트 후원자에게 응답을 촉구합니다.,B,"프로젝트의 심각성을 고려할 때, 프로젝트 관리자는 즉각적이고 직접적인 의사소통을 해야 합니다. B 옵션은 프로젝트 후원자에게 주요 우려 사항을 요약하고 즉시 대면 회의를 요청하는 가장 효과적인 방법입니다. 이는 프로젝트 관리자의 리더십과 책임감을 보여주며, PMBOK에서 강조하는 이해관계자 관리 및 의사소통 관리의 핵심 원칙에 부합합니다.  A 옵션은 후원자가 참석하지 않을 가능성이 높고, C 옵션은 상황의 심각성을 고려했을 때 너무 수동적입니다. D 옵션은 위험 분석은 중요하지만, 즉각적인 조치와 직접적인 의사소통이 더 중요한 이 상황에서는 부족합니다."
460,A project manager is acting as a scrum master in a hybrid project and is dealing with a conict between team members. What strategy should be used to handle this conict? A. Sort conicts into two groups: positive and negative B. Place conicts into categories: structural and interpersonal C. Place conicts on a shared conict list and ensure it is visible D. Review conicts during daily Scrum so they are handled in a timely manner,"하이브리드 프로젝트에서 스크럼 마스터 역할을 하는 프로젝트 매니저가 팀원 간의 갈등을 처리하고 있습니다. 이 갈등을 해결하기 위해 어떤 전략을 사용해야 할까요? A. 갈등을 긍정적 갈등과 부정적 갈등, 두 그룹으로 분류합니다. B. 갈등을 구조적 갈등과 대인 관계 갈등으로 분류합니다. C. 갈등을 공유 갈등 목록에 기록하고 모두가 볼 수 있도록 합니다. D. 일일 스크럼 회의에서 갈등을 검토하여 적시에 처리합니다.",A,"스크럼에서는 투명성과 신속한 문제 해결을 중요시합니다. 일일 스크럼 회의에서 갈등을 검토하는 것은 팀원들이 갈등을 인지하고, 그 원인과 영향을 파악하며, 해결책을 찾도록 도와줍니다. 이를 통해 갈등이 프로젝트에 부정적인 영향을 미치기 전에 신속하게 해결할 수 있습니다.  PMBOK에서도  갈등 해결에 있어서 시기적절성을 강조하고 있습니다.  단순히 갈등을 분류하는 것보다 적극적인 해결 방안을 선택하는 것이 중요합니다."
461,A new agile team is forming and the project manager notices that the team is struggling in many areas. The team is experiencing both the inability to meet iteration commitments and team member conicts. What should the project manager do next? A. Raise the issues in the retrospective and propose solutions B. Inform management that commitments will not be met C. Involve management to help resolve the conicts D. Coach the team both as a whole and individually,"프로젝트 매니저는 새롭게 구성된 애자일 팀이 여러 영역에서 어려움을 겪고 있음을 인지했습니다. 팀은 반복 주기 목표 달성에 어려움을 겪고 있으며, 팀원 간의 갈등도 발생하고 있습니다. 프로젝트 매니저는 다음으로 무엇을 해야 합니까? A. 회고 회의에서 문제를 제기하고 해결책을 제안한다 B. 경영진에게 목표를 달성하지 못할 것이라고 알린다 C. 갈등 해결을 위해 경영진을 개입시킨다 D. 팀 전체와 개별 팀원을 코칭한다",D,"회고 회의는 애자일 방법론의 핵심적인 부분으로, 팀이 프로세스를 개선하고 문제를 해결하는 데 도움이 됩니다. 반복 주기 목표 미달성 및 팀원 간 갈등과 같은 문제는 회고 회의에서 제기하고, 팀 전체가 참여하여 해결책을 찾는 것이 가장 효과적입니다.  B는 문제 해결보다는 보고에 집중하며, C는 경영진의 불필요한 개입을 초래할 수 있고, D는 회고를 통해 문제의 근본 원인을 파악하기 전에 이루어지는 것은 적절하지 않을 수 있습니다.  따라서 PMBOK의 관점에서 A가 가장 적절한 조치입니다."
462,"The resource management plan is already done, and the team is located in different countries around the world. Team members are in multiple time zones, and they use different languages for communication. The project manager needs to keep the team organized and avoid misunderstandings and miscommunication that may produce a negative impact to the project. What should the project manager do to reduce negative impacts to the project? A. Modify the communications management plan to account for regional differences B. Conduct cultural awareness seminars C. Hold a virtual meeting to discuss the political environment D. Conduct a multigenerational management training session",프로젝트 자원 관리 계획은 이미 완료되었으며 팀원들은 전 세계 여러 국가에 위치하고 있습니다. 팀원들은 여러 시간대에 있으며 의사소통을 위해 다른 언어를 사용합니다. 프로젝트 관리자는 팀을 체계적으로 관리하고 프로젝트에 부정적인 영향을 미칠 수 있는 오해와 의사소통 문제를 방지해야 합니다. 프로젝트에 대한 부정적인 영향을 줄이기 위해 프로젝트 관리자는 무엇을 해야 합니까? A. 지역적 차이를 고려하여 의사소통 관리 계획을 수정한다 B. 문화 인식 세미나를 실시한다 C. 정치적 환경에 대해 논의하기 위한 가상 회의를 개최한다 D. 다세대 관리 교육 세션을 실시한다,A,"의사소통 관리 계획은 팀 구성원의 언어, 위치, 문화적 차이 등을 고려하여 효과적인 의사소통 전략을 수립하는 데 중요합니다. 문제에서 언급된 여러 시간대, 다른 언어 사용, 지역적 차이로 인한 문제 발생 가능성을 고려할 때, 의사소통 관리 계획을 수정하여 이러한 요소들을 반영하고 명확한 의사소통 채널 및 프로토콜을 설정하는 것이 가장 효과적인 해결책입니다.  PMBOK에서 의사소통 관리 계획은 프로젝트 정보가 적시에 적절한 형식과 적절한 사람에게 전달되도록 보장하는 프로세스를 정의합니다."
463,"During the design phase, a project manager realizes that the project will benet from using adaptive tools. The effectiveness of this approach has been proven in past projects inside the organization. What should the project manager do rst? A. Update project documents to include adaptive tools and artifacts and plan the rst iterative session B. Contact the project sponsor and request new team members who are familiar with adaptive projects C. Conrm team capabilities before introducing adaptive tools and artifacts to the project D. Freeze the design stage and look for an external resource to run iterative design at extra cost",프로젝트 설계 단계에서 프로젝트 관리자는 적응형 도구를 사용하면 프로젝트에 도움이 될 것이라는 것을 깨달았습니다. 이러한 접근 방식의 효과는 조직 내 과거 프로젝트에서 입증되었습니다. 프로젝트 관리자는 무엇을 먼저 해야 합니까? A. 적응형 도구 및 산출물을 포함하도록 프로젝트 문서를 업데이트하고 첫 번째 반복 세션을 계획합니다. B. 프로젝트 후원자에게 연락하여 적응형 프로젝트에 익숙한 새로운 팀원을 요청합니다. C. 프로젝트에 적응형 도구 및 산출물을 도입하기 전에 팀 역량을 확인합니다. D. 설계 단계를 중단하고 추가 비용으로 반복적인 설계를 실행할 외부 자원을 찾습니다.,C,"PMBOK에서 강조하는 팀 관리의 핵심은 팀의 역량을 파악하고 활용하는 것입니다. 적응형 접근 방식을 도입하기 전에 팀의 기술, 경험, 교육 수준 등을 확인하여 적응형 도구와 산출물을 효과적으로 사용할 수 있는지, 또는 추가적인 교육이나 지원이 필요한지 판단해야 합니다.  이를 통해 성공적인 프로젝트 수행을 위한 기반을 마련할 수 있습니다.  A는 팀 역량 확인 없이 바로 실행하는 것이므로 적절하지 않습니다. B는 새로운 팀원 요청 전에 기존 팀 역량을 먼저 파악해야 합니다. D는 추가 비용 발생 및 설계 단계 중단으로 인해 최선의 선택이 아닙니다."
464,A project manager is leading a project which shows a trend to exceed the cost baseline. What should the project manager do rst to manage the budget? A. Ask the project sponsor for assistance in getting the budget back on track B. Meet with the project team to analyze the actual cost to determine deviations C. Inform the stakeholders that the project will be nished over budget D. Issue a change request including the analysis to increase the budget,프로젝트 매니저는 비용 기준선을 초과하는 추세를 보이는 프로젝트를 이끌고 있습니다. 예산을 관리하기 위해 프로젝트 매니저가 가장 먼저 해야 할 일은 무엇입니까? A. 예산을 다시 정상 궤도에 올리기 위해 프로젝트 스폰서에게 지원을 요청한다. B. 프로젝트 팀과 회의를 열어 실제 비용을 분석하고 편차를 파악한다. C. 프로젝트가 예산을 초과하여 완료될 것이라고 이해관계자에게 알린다. D. 예산 증액 분석을 포함한 변경 요청을 제출한다.,B,"비용 기준선 초과 추세를 보일 때 가장 먼저 해야 할 일은 원인 분석입니다. PMBOK에서 제시하는 비용 통제 프로세스에 따라 실제 비용과 기준선의 차이를 분석하고, 그 원인을 파악해야 합니다.  스폰서에게 지원을 요청하거나, 이해관계자에게 알리거나, 변경 요청을 제출하는 것은 원인 분석 후에 이루어져야 하는 조치입니다. 따라서 팀과 함께 실제 비용을 분석하고 편차를 파악하는 것이 우선되어야 합니다."
465,"Two functional managers disagree on key features of one deliverable during the planning of a project. The project manager discovers that each manager included requirements that contradict each other. The functional managers do not want to meet with each other to nd a solution. This situation has been escalated to the sponsor who requests a meeting with them. What strategy should the project manager use to resolve this conict in the meeting? A. Explain to the managers that the contradicting requirements are being considered for implementation in the project B. Explain to the managers that only one of the two requirements can be implemented, and submit a change request C. Ensure that both managers understand the requirements and search for a solution that best satises this deliverable D. Request that the managers explain why each requirement must be implemented and decide by considering the cost and benets","프로젝트 계획 단계에서 두 기능 관리자가 하나의 결과물에 대한 주요 기능에 대해 의견 차이를 보이고 있습니다. 프로젝트 관리자는 각 관리자가 서로 상충되는 요구사항을 포함시켰다는 것을 발견했습니다. 기능 관리자들은 해결책을 찾기 위해 서로 만나고 싶어하지 않습니다. 이 상황은 스폰서에게 보고되었고, 스폰서는 그들과의 회의를 요청했습니다. 회의에서 프로젝트 관리자는 이 갈등을 해결하기 위해 어떤 전략을 사용해야 합니까? A. 관리자들에게 상충되는 요구사항들이 프로젝트 구현을 위해 고려되고 있음을 설명한다. B. 관리자들에게 두 요구사항 중 하나만 구현될 수 있으며, 변경 요청을 제출해야 함을 설명한다. C. 두 관리자 모두 요구사항을 이해하고, 이 결과물에 가장 적합한 해결책을 찾도록 한다. D. 관리자들에게 각 요구사항이 왜 구현되어야 하는지 설명하도록 요청하고, 비용과 편익을 고려하여 결정한다.",D,"PMBOK에서 갈등 해결의 가장 효과적인 방법은 문제의 근본 원인을 다루는 것입니다. D는 관리자들이 각자의 요구사항의 중요성을 설명하고, 프로젝트에 미치는 비용과 편익을 고려하여 스폰서와 함께 최선의 결정을 내릴 수 있도록 유도하는 협력적인 문제 해결 방식입니다. 이는 상충되는 요구사항의 근본 원인을 분석하고, 프로젝트 목표에 가장 부합하는 해결책을 찾는 데 도움이 됩니다."
466,"A project manager is approaching the end of a project, and several tasks are now practically complete and ready for handover to the client. How should the project manager proceed? A. Update the quality management plan for the overall project B. Ask the client to verify and accept the tasks that have been completed C. Close out the project tasks that have been completed D. Update the communications management plan for the overall project","프로젝트 매니저는 프로젝트 종료 시점에 있으며, 여러 작업이 거의 완료되어 고객에게 인계할 준비가 되었습니다. 프로젝트 매니저는 어떻게 진행해야 합니까? A. 전체 프로젝트에 대한 품질 관리 계획을 업데이트합니다. B. 고객에게 완료된 작업을 확인하고 수락하도록 요청합니다. C. 완료된 프로젝트 작업을 종료합니다. D. 전체 프로젝트에 대한 의사소통 관리 계획을 업데이트합니다.",B,"고객의 검토 및 승인은 종료 프로세스 그룹의 핵심 요소입니다. PMBOK 가이드에 따르면, 고객에게 작업 결과물을 공식적으로 승인받는 것은 프로젝트 또는 단계의 종료를 위한 필수적인 단계입니다.  완료된 작업에 대한 고객의 확인 및 수락을 요청하는 것은 인계 전에 필요한 절차이며, 이를 통해 고객의 요구사항이 충족되었는지 확인하고 공식적인 인수를 위한 기반을 마련할 수 있습니다. 품질 관리 계획이나 의사소통 관리 계획 업데이트는 이 시점에서 주요 관심사가 아니며, 작업 종료는 고객 승인 이후에 진행되어야 합니다."
467,"During a documentation audit of an international company, it was identied that the last version of the project schedule was from one month ago even though the project manager knew it was recently updated. How should the project manager have handled documentation for the project? A. Updated the project management plan regularly and had it securely shared with all stakeholders B. Assigned a project team member to ensure all project documentation was updated C. Reviewed the risk register to identify a response plan for the audit D. Kept documentation in the project management information system (PMIS), and shared it with appropriate stakeholders","프로젝트 문서 감사 중, 한 다국적 기업에서 최신 프로젝트 일정이 한 달 전 버전인 것으로 확인되었습니다. 프로젝트 관리자는 최근 업데이트되었다는 것을 알고 있었습니다. 프로젝트 관리자는 프로젝트 문서를 어떻게 관리했어야 했습니까? A. 프로젝트 관리 계획을 정기적으로 업데이트하고 모든 이해관계자와 안전하게 공유했어야 합니다. B. 프로젝트 팀원에게 모든 프로젝트 문서가 업데이트되도록 할당했어야 합니다. C. 위험 관리 계획서를 검토하여 감사에 대한 대응 계획을 식별했어야 합니다. D. 프로젝트 관리 정보 시스템(PMIS)에 문서를 보관하고 적절한 이해관계자와 공유했어야 합니다.",D,"PMBOK 가이드에 따르면 프로젝트 문서는 PMIS에 보관하고 필요한 접근 권한을 가진 이해관계자와 공유하는 것이 가장 좋습니다. 이를 통해 버전 관리 문제를 방지하고 모든 이해관계자가 최신 정보에 접근할 수 있도록 합니다. A는 정기적인 업데이트는 중요하지만 문서 감사 시점의 최신 버전 접근성을 보장하지는 않습니다. B는 팀원에게 업데이트 책임을 할당하는 것이 효율적이지 않고 PM의 책임을 전가하는 것입니다. C는 감사 대응과 관련은 있지만, 근본적인 문서 관리 해결책은 아닙니다. D가 PMIS 활용을 통해 문서 버전 관리 및 접근성을 보장하는 가장 효과적인 방법입니다.  핵심은 최신 버전 문서에 대한 접근성 확보입니다."
